armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
2048,2048,2048,2048,512,256,-297,-145,351,334,-6115,6115,0,0,501,501,2051
2048,2048,2048,2048,512,256,-199,-153,251,340,-89641,89641,0,0,523,523,2051
2048,2048,2048,2048,512,256,75,-304,70,551,-77966,77966,0,1,830,830,2045
2048,2048,2048,2048,512,256,24,201,60,245,-35598,35598,0,0,376,376,2045
2048,2048,2048,2048,512,256,-146,73,103,433,-17866,17866,0,0,741,741,2048
2048,2048,2048,2048,512,256,57,-56,170,696,-97784,97784,0,1,1041,1041,2045
2048,2048,2048,2048,512,256,114,134,510,418,-7527,7527,0,0,554,554,2048
2048,2048,2048,2048,512,256,144,145,86,359,-7545,7545,0,0,556,556,2045
2048,2048,2048,2048,512,256,-127,-62,272,331,-172644,172644,0,0,514,514,2051
2048,2048,2048,2048,512,256,-91,-328,224,597,-99459,99459,0,0,931,931,2051
2048,2048,2048,2048,512,256,288,-2,76,400,21890,2658,1,0,521,521,2048
2048,2048,2048,2048,512,256,-130,-27,471,396,-80407,80407,0,0,531,531,2051
2048,2048,2048,2048,512,256,-73,315,216,90,25620,2693,1,0,148,148,2051
2048,2048,2048,2048,512,256,21,203,303,341,-66303,66303,0,0,476,476,2048
2048,2048,2048,2048,512,256,71,-124,339,747,15820,2673,1,0,1128,1128,2048
2048,2048,2048,2048,512,256,-31,-352,155,500,-42198,42198,0,1,758,758,2045
2048,2048,2048,2048,512,256,262,-242,214,375,-5008,5008,0,0,543,543,2045
2048,2048,2048,2048,512,256,242,141,38,283,22930,2934,1,0,417,417,2045
2048,2048,2048,2048,512,256,412,15,81,430,20740,1765,1,0,636,636,2048
2048,2048,2048,2048,512,256,159,198,48,268,-6999,6999,0,0,384,384,2045
2048,2048,2048,2048,512,256,127,140,238,461,-7644,7644,0,0,671,671,2045
2048,2048,2048,2048,512,256,53,435,128,56,-81768,81768,0,0,89,89,2048
2048,2048,2048,2048,512,256,82,-237,194,650,17970,2318,1,0,913,913,2045
2048,2048,2048,2048,512,256,-186,225,341,170,-40772,40772,0,0,273,273,2051
2048,2048,2048,2048,512,256,-45,-103,264,730,-143250,143250,0,1,1133,1133,2045
2048,2048,2048,2048,512,256,-143,-328,190,588,-132449,132449,0,0,892,892,2051
2048,2048,2048,2048,512,256,-39,316,203,93,-6416,6416,0,0,148,148,2048
2048,2048,2048,2048,512,256,60,156,179,590,-41563,41563,0,0,681,681,2045
2048,2048,2048,2048,512,256,-151,-307,220,560,-81400,81400,0,0,810,810,2051
2048,2048,2048,2048,512,256,-234,-157,359,330,-56600,56600,0,0,517,517,2051
2048,2048,2048,2048,512,256,115,85,494,444,20550,2422,1,0,655,655,2048
2048,2048,2048,2048,512,256,60,324,221,101,-17348,17348,0,0,156,156,2045
2048,2048,2048,2048,512,256,-184,-108,350,303,-120796,120796,0,0,476,476,2051
2048,2048,2048,2048,512,256,214,175,404,263,23070,2757,1,0,403,403,2048
2048,2048,2048,2048,512,256,237,299,354,104,-101610,101610,0,0,160,160,2048
2048,2048,2048,2048,512,256,-352,23,259,206,23740,2795,1,0,336,336,2051
2048,2048,2048,2048,512,256,-54,70,123,448,-158010,158010,0,1,671,671,2045
2048,2048,2048,2048,512,256,284,-185,317,327,22090,2923,1,0,501,501,2048
2048,2048,2048,2048,512,256,118,336,374,46,-118855,118855,0,0,78,78,2048
2048,2048,2048,2048,512,256,162,273,226,175,-10448,10448,0,0,240,240,2045
2048,2048,2048,2048,512,256,-26,-156,292,817,-26776,26776,0,0,1235,1235,2048
2048,2048,2048,2048,512,256,-260,-58,473,378,-43584,43584,0,0,585,585,2051
2048,2048,2048,2048,512,256,-120,-138,418,410,-72712,72712,0,0,629,629,2051
2048,2048,2048,2048,512,256,30,-346,133,548,-41056,41056,0,1,775,775,2045
2048,2048,2048,2048,512,256,-402,-33,207,244,-38715,38715,0,0,402,402,2051
2048,2048,2048,2048,512,256,285,238,73,219,23800,2734,1,0,330,330,2048
2048,2048,2048,2048,512,256,-19,177,353,307,-76228,76228,0,0,439,439,2048
2048,2048,2048,2048,512,256,81,-158,376,711,16610,2607,1,0,1049,1049,2048
2048,2048,2048,2048,512,256,378,37,105,394,21320,2520,1,0,578,578,2048
2048,2048,2048,2048,512,256,392,126,76,358,21660,2787,1,0,544,544,2048
2048,2048,2048,2048,512,256,296,-139,41,439,-15867,15867,0,0,649,649,2048
2048,2048,2048,2048,512,256,74,-213,376,642,17420,2134,1,0,968,968,2048
2048,2048,2048,2048,512,256,242,-59,411,445,20370,2583,1,0,673,673,2048
2048,2048,2048,2048,512,256,97,121,482,432,-10453,10453,0,0,627,627,2048
2048,2048,2048,2048,512,256,228,-30,107,466,20290,2827,1,0,681,681,2045
2048,2048,2048,2048,512,256,-102,192,340,167,-132007,132007,0,0,263,263,2051
2048,2048,2048,2048,512,256,-63,-173,170,848,-63907,63907,0,0,1269,1269,2045
2048,2048,2048,2048,512,256,-72,88,194,426,-116800,116800,0,0,686,686,2051
2048,2048,2048,2048,512,256,173,-109,342,614,18380,2839,1,0,872,872,2048
2048,2048,2048,2048,512,256,-55,300,268,120,25310,2929,1,0,179,179,2051
2048,2048,2048,2048,512,256,-66,-270,159,635,-67742,67742,0,1,925,925,2045
2048,2048,2048,2048,512,256,190,-263,190,440,20800,2680,1,0,630,630,2045
2048,2048,2048,2048,512,256,-23,60,536,291,-42953,42953,0,0,446,446,2048
2048,2048,2048,2048,512,256,342,49,335,247,-5164,5164,0,0,372,372,2048
2048,2048,2048,2048,512,256,-159,133,145,413,-12320,12320,0,0,603,603,2051
2048,2048,2048,2048,512,256,95,-341,45,846,-94079,94079,0,0,1242,1242,2045
2048,2048,2048,2048,512,256,-68,-372,213,885,-239124,239124,0,1,1339,1339,2051
2048,2048,2048,2048,512,256,24,26,74,476,-120502,120502,0,1,696,696,2045
2048,2048,2048,2048,512,256,79,-198,171,720,16930,2968,1,0,1017,1017,2045
2048,2048,2048,2048,512,256,268,-192,73,423,-9745,9745,0,0,625,625,2048
2048,2048,2048,2048,512,256,-358,-135,51,344,-22313,22313,0,0,561,561,2051
2048,2048,2048,2048,512,256,297,-144,407,367,-27329,27329,0,0,556,556,2048
2048,2048,2048,2048,512,256,98,-367,216,485,-99245,99245,0,1,712,712,2045
2048,2048,2048,2048,512,256,-160,-222,351,438,-51459,51459,0,0,637,637,2051
2048,2048,2048,2048,512,256,-235,41,113,335,-24498,24498,0,0,548,548,2051
2048,2048,2048,2048,512,256,290,51,252,328,22140,2398,1,0,496,496,2048
2048,2048,2048,2048,512,256,-336,-55,405,301,-31441,31441,0,0,484,484,2051
2048,2048,2048,2048,512,256,-131,-160,206,517,-65961,65961,0,0,812,812,2051
2048,2048,2048,2048,512,256,-99,-104,374,375,-145012,145012,0,0,572,572,2051
2048,2048,2048,2048,512,256,-149,-125,370,348,-116703,116703,0,0,534,534,2051
2048,2048,2048,2048,512,256,376,-15,331,300,-20810,20810,0,0,463,463,2048
2048,2048,2048,2048,512,256,-187,-134,83,545,-31266,31266,0,0,877,877,2051
2048,2048,2048,2048,512,256,189,-271,132,463,-18887,18887,0,0,664,664,2045
2048,2048,2048,2048,512,256,-68,-408,215,872,-275851,275851,0,1,1340,1340,2051
2048,2048,2048,2048,512,256,-114,58,433,284,-101175,101175,0,0,449,449,2051
2048,2048,2048,2048,512,256,-400,65,248,330,21850,2648,1,0,525,525,2051
2048,2048,2048,2048,512,256,-155,305,391,232,23460,2623,1,0,364,364,2051
2048,2048,2048,2048,512,256,-368,144,234,317,22040,2668,1,0,506,506,2051
2048,2048,2048,2048,512,256,323,83,148,328,22070,2897,1,0,503,503,2048
2048,2048,2048,2048,512,256,224,-69,376,528,19720,2627,1,0,738,738,2048
2048,2048,2048,2048,512,256,-14,-107,298,778,-85573,85573,0,1,1179,1179,2048
2048,2048,2048,2048,512,256,-84,200,238,262,-71758,71758,0,0,432,432,2051
2048,2048,2048,2048,512,256,116,226,91,235,-15543,15543,0,0,359,359,2045
2048,2048,2048,2048,512,256,74,-261,376,559,18480,2234,1,0,862,862,2048
2048,2048,2048,2048,512,256,167,-78,68,559,18840,2791,1,0,826,826,2045
2048,2048,2048,2048,512,256,218,200,382,259,23730,2610,1,0,337,337,2048
2048,2048,2048,2048,512,256,-226,235,164,155,24590,2762,1,0,251,251,2051
2048,2048,2048,2048,512,256,206,189,63,265,23030,2476,1,0,407,407,2045
2048,2048,2048,2048,512,256,93,-379,218,482,-98406,98406,0,1,706,706,2045
2048,2048,2048,2048,512,256,-176,-167,194,481,-36514,36514,0,0,758,758,2051
