armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
2048,2048,2048,2048,512,256,-297,-145,351,1445,22040,2487,1,0,506,506,2048
2048,2048,2048,2048,512,256,-199,-153,251,2277,19380,2696,1,0,772,772,2051
2048,2048,2048,2048,512,256,75,-304,70,1946,18300,2968,1,0,880,880,2045
2048,2048,2048,2048,512,256,24,201,60,1093,22210,2831,1,0,489,489,2048
2048,2048,2048,2048,512,256,-146,73,103,10779,-49477,49477,0,1,819,789,2048
2048,2048,2048,2048,512,256,57,-56,170,2294,-119092,119092,0,1,838,838,2048
2048,2048,2048,2048,512,256,114,134,510,1264,21910,2720,1,0,519,519,2048
2048,2048,2048,2048,512,256,144,145,86,1380,20680,2852,1,0,642,642,2048
2048,2048,2048,2048,512,256,-127,-62,272,2378,-4355,4355,0,1,973,973,2048
2048,2048,2048,2048,512,256,-91,-328,224,1469,20280,2892,1,0,682,682,2051
2048,2048,2048,2048,512,256,288,-2,76,1603,20930,2823,1,0,617,617,2048
2048,2048,2048,2048,512,256,-130,-27,471,5444,18100,1959,1,0,900,900,2048
2048,2048,2048,2048,512,256,-73,315,216,4208,-15698,2993,1,0,441,431,2048
2048,2048,2048,2048,512,256,21,203,303,912,22820,2507,1,0,428,428,2048
2048,2048,2048,2048,512,256,71,-124,339,2861,16149,2523,1,0,1095,1095,2048
2048,2048,2048,2048,512,256,-31,-352,155,1712,19490,2817,1,0,761,761,2051
2048,2048,2048,2048,512,256,262,-242,214,1194,21670,2379,1,0,543,543,2045
2048,2048,2048,2048,512,256,242,141,38,1143,21780,2656,1,0,532,532,2048
2048,2048,2048,2048,512,256,412,15,81,71245,584,2777,1,0,908,652,2048
2048,2048,2048,2048,512,256,159,198,48,1351,21950,2586,1,0,515,515,2048
2048,2048,2048,2048,512,256,127,140,238,1593,21220,2711,1,0,588,588,2048
2048,2048,2048,2048,512,256,53,435,128,242858,-60304,54385,0,0,1710,1006,2048
2048,2048,2048,2048,512,256,82,-237,194,2270,17990,2273,1,0,911,911,2045
2048,2048,2048,2048,512,256,-186,225,341,5237,-1123,2883,1,0,634,620,2048
2048,2048,2048,2048,512,256,-45,-103,264,2522,-61573,61573,0,1,1035,1035,2051
2048,2048,2048,2048,512,256,-143,-328,190,1805,20540,2343,1,0,656,656,2051
2048,2048,2048,2048,512,256,-39,316,203,2783,-8813,2960,1,0,441,434,2048
2048,2048,2048,2048,512,256,60,156,179,1177,-17169,17169,0,1,575,575,2048
2048,2048,2048,2048,512,256,-151,-307,220,1573,20660,2951,1,0,644,644,2051
2048,2048,2048,2048,512,256,-234,-157,359,1905,20000,2659,1,0,710,710,2048
2048,2048,2048,2048,512,256,115,85,494,1416,20540,2848,1,0,656,656,2048
2048,2048,2048,2048,512,256,60,324,221,562,25170,2816,1,0,193,193,2048
2048,2048,2048,2048,512,256,-184,-108,350,2345,18340,2620,1,0,876,876,2048
2048,2048,2048,2048,512,256,214,175,404,924,22790,2808,1,0,431,431,2048
2048,2048,2048,2048,512,256,237,299,354,308687,-85869,85869,0,0,1710,710,2048
2048,2048,2048,2048,512,256,-352,23,259,2771,-7786,2909,1,0,336,328,2051
2048,2048,2048,2048,512,256,-54,70,123,39719,-110930,110930,0,1,846,766,2048
2048,2048,2048,2048,512,256,284,-185,317,1183,22009,2547,1,0,509,509,2048
2048,2048,2048,2048,512,256,118,336,374,833,23820,2596,1,0,328,328,2048
2048,2048,2048,2048,512,256,162,273,226,619,24240,2604,1,0,286,286,2048
2048,2048,2048,2048,512,256,-26,-156,292,2642,15740,2851,1,0,1136,1136,2048
2048,2048,2048,2048,512,256,-260,-58,473,17986,19060,2564,1,0,804,734,2048
2048,2048,2048,2048,512,256,-120,-138,418,2440,17400,2797,1,0,970,970,2048
2048,2048,2048,2048,512,256,30,-346,133,2182,18880,2715,1,0,822,822,2045
2048,2048,2048,2048,512,256,-402,-33,207,6745,-1832,2551,1,0,578,562,2048
2048,2048,2048,2048,512,256,285,238,73,20249,-2158,2669,1,0,320,303,2048
2048,2048,2048,2048,512,256,-19,177,353,1468,-63187,63187,0,1,629,629,2048
2048,2048,2048,2048,512,256,81,-158,376,2297,16670,2971,1,0,1043,1043,2048
2048,2048,2048,2048,512,256,378,37,105,10441,-4579,2969,1,0,439,409,2048
2048,2048,2048,2048,512,256,392,126,76,48745,2604,2848,1,0,637,443,2048
